"motif"	"motif length"	"p_value"
"424"	"MYBL1"	12	1
"425"	"MYBL2"	15	1
"426"	"NFKB1"	13	1
"427"	"NFKB2"	13	1
"428"	"PAX1"	17	1
"429"	"PAX3"	10	1
"430"	"PAX9"	17	1
"431"	"PKNOX1"	12	1
"432"	"POU2F1"	12	1
"433"	"POU3F4"	9	1
"434"	"POU5F1B"	9	1
"435"	"POU6F2"	10	1
"436"	"PROX1"	12	1
"437"	"SMAD3"	10	1
"438"	"RUNX2"	9	1
"439"	"MGA"	8	1
"440"	"TBX15"	8	1
"441"	"TBX19"	20	1
"442"	"TBX1"	8	1
"443"	"TBX4"	8	1
"444"	"TBX5"	8	1
"445"	"TFAP2Avar2"	12	1
"446"	"TFAP2A"	11	1
"447"	"TFAP2B"	12	1
"448"	"TFAP2Bvar2"	11	1
"449"	"TFAP2Bvar3"	13	1
"450"	"TFAP2C"	12	1
"451"	"TFAP2Cvar2"	11	1
"452"	"TFAP2Cvar3"	13	1
"453"	"BHLHE22"	10	1
"454"	"CLOCK"	10	1
"455"	"FIGLA"	10	1
"456"	"HES5"	12	1
"457"	"HES7"	12	1
"458"	"HEY1"	10	1
"459"	"ID4"	10	1
"460"	"MAX"	10	1
"461"	"MNT"	10	1
"462"	"OLIG1"	10	1
"463"	"OLIG3"	10	1
"464"	"TCF3"	10	1
"465"	"TCF4"	10	1
"466"	"ATF4"	13	1
"467"	"ATF7"	14	1
"468"	"CEBPB"	10	1
"469"	"CEBPD"	10	1
"470"	"CEBPE"	10	1
"471"	"CEBPG"	10	1
"472"	"CREB3L1"	14	1
"473"	"Creb5"	12	1
"474"	"Mafb"	12	1
"475"	"NFE2"	11	1
"476"	"NRL"	11	1
"477"	"TEF"	12	1
"478"	"XBP1"	14	1
"479"	"FOXB1"	11	1
"480"	"FOXC1"	11	1
"481"	"Alx4"	17	1
"482"	"Alx1"	17	1
"483"	"Rarb"	16	1
"484"	"Rarg"	16	1
"485"	"TP53"	18	1
"486"	"TP73"	18	1
"487"	"E2F1"	12	1
"488"	"E2F2"	16	1
"489"	"SOX21"	15	1
"490"	"Sox1"	15	1
"491"	"TFAP2Avar3"	13	1
"492"	"ELK1"	10	1
"493"	"HOXD12"	11	1
"494"	"Arx"	17	1
"495"	"Barhl1"	10	1
"496"	"Dmbx1"	17	1
"497"	"DUXA"	13	1
"498"	"EMX2"	10	1
"499"	"EVX1"	10	1
"500"	"EVX2"	10	1
"501"	"GBX1"	10	1
"502"	"GBX2"	10	1
"503"	"GSX2"	10	1
"504"	"HESX1"	10	1
"505"	"HMBOX1"	10	1
"506"	"Hmx2"	17	1
"507"	"Hmx3"	17	1
"508"	"HOXA10"	11	1
"509"	"HOXA2"	10	1
"510"	"HOXB2"	10	1
"511"	"HOXB3"	10	1
"512"	"Hoxb5"	16	1
"513"	"HOXC10"	10	1
"514"	"HOXC12"	11	1
"515"	"HOXC13"	11	1
"516"	"HOXD11"	10	1
"517"	"HOXD13"	10	1
"518"	"Hoxa11"	12	1
"519"	"Hoxd3"	16	1
