"motif"	"motif length"	"p_value"
"347"	"Ar"	17	1
"348"	"BARHL2"	10	1
"349"	"CENPB"	15	1
"350"	"CREB3"	14	1
"351"	"DBP"	12	1
"352"	"ELF4"	12	1
"353"	"ELF5"	11	1
"354"	"EN2"	10	1
"355"	"Esrrg"	10	1
"356"	"ESX1"	10	1
"357"	"FLI1"	10	1
"358"	"GCM1"	11	1
"359"	"GRHL1"	12	1
"360"	"GSC"	10	1
"361"	"HEY2"	10	1
"362"	"HINFP"	12	1
"363"	"HLF"	12	1
"364"	"HOXA13"	10	1
"365"	"HOXC11"	11	1
"366"	"JDP2var2"	12	1
"367"	"KLF13"	18	1
"368"	"LHX6"	10	1
"369"	"MAFG"	21	1
"370"	"MEOX1"	10	1
"371"	"MIXL1"	10	1
"372"	"MLX"	10	1
"373"	"MLXIPL"	10	1
"374"	"NEUROD2"	10	1
"375"	"NFIA"	10	1
"376"	"NFIX"	9	1
"377"	"NHLH1"	10	1
"378"	"NKX23"	10	1
"379"	"NKX28"	9	1
"380"	"OLIG2"	10	1
"381"	"ONECUT1"	14	1
"382"	"PAX7"	10	1
"383"	"Phox2b"	11	1
"384"	"RUNX3"	10	1
"385"	"SPDEF"	11	1
"386"	"T"	16	1
"387"	"TBX20"	11	1
"388"	"TEAD1"	10	1
"389"	"Vdr"	16	1
"390"	"ZBTB7B"	12	1
"391"	"ZBTB7C"	12	1
"392"	"LBX2"	10	1
"393"	"LHX2"	10	1
"394"	"MEOX2"	10	1
"395"	"MNX1"	10	1
"396"	"OTX1"	8	1
"397"	"PHOX2A"	11	1
"398"	"PITX3"	9	1
"399"	"PROP1"	11	1
"400"	"ESR1"	17	1
"401"	"ESRRB"	11	1
"402"	"Esrra"	11	1
"403"	"Hnf4a"	16	1
"404"	"NR3C1"	17	1
"405"	"NR3C2"	17	1
"406"	"RARA"	18	1
"407"	"BCL6B"	17	1
"408"	"EGR2"	11	1
"409"	"EGR3"	15	1
"410"	"EGR4"	16	1
"411"	"GLIS1"	16	1
"412"	"GLIS2"	14	1
"413"	"GLIS3"	14	1
"414"	"KLF14"	14	1
"415"	"KLF16"	11	1
"416"	"SP3"	11	1
"417"	"SP8"	12	1
"418"	"YY2"	11	1
"419"	"ZBED1"	13	1
"420"	"ZBTB7A"	12	1
"421"	"ZNF143"	16	1
"422"	"ZNF410"	17	1
"423"	"CUX1"	10	1
"424"	"CUX2"	10	1
"425"	"ONECUT2"	14	1
"426"	"E2F3"	18	1
"427"	"E2F7"	14	1
"428"	"ELF1"	12	1
"429"	"ERF"	10	1
"430"	"ERG"	10	1
"431"	"ETS1"	10	1
"432"	"ETV2"	11	1
"433"	"ETV3"	10	1
"434"	"ETV5"	10	1
"435"	"FEV"	10	1
"436"	"GCM2"	10	1
"437"	"MYBL1"	12	1
"438"	"MYBL2"	15	1
"439"	"NFKB1"	13	1
"440"	"NFKB2"	13	1
"441"	"PAX1"	17	1
"442"	"PAX3"	10	1
"443"	"PAX9"	17	1
"444"	"PROX1"	12	1
"445"	"SMAD3"	10	1
"446"	"TBX19"	20	1
"447"	"TEAD4"	10	1
"448"	"TFAP2Bvar3"	13	1
"449"	"TFAP2Cvar3"	13	1
"450"	"BHLHE22"	10	1
"451"	"CLOCK"	10	1
"452"	"FIGLA"	10	1
"453"	"HES5"	12	1
"454"	"HES7"	12	1
"455"	"HEY1"	10	1
"456"	"ID4"	10	1
"457"	"MAX"	10	1
"458"	"MNT"	10	1
"459"	"OLIG1"	10	1
"460"	"OLIG3"	10	1
"461"	"TCF4"	10	1
"462"	"ATF4"	13	1
"463"	"ATF7"	14	1
"464"	"BATF3"	14	1
"465"	"CEBPB"	10	1
"466"	"CEBPD"	10	1
"467"	"CEBPE"	10	1
"468"	"CEBPG"	10	1
"469"	"Creb5"	12	1
"470"	"Mafb"	12	1
"471"	"NFE2"	11	1
"472"	"NRL"	11	1
"473"	"TEF"	12	1
"474"	"XBP1"	14	1
"475"	"FOXB1"	11	1
"476"	"FOXC1"	11	1
"477"	"FOXC2"	12	1
"478"	"Alx4"	17	1
"479"	"Alx1"	17	1
"480"	"Rarbvar2"	17	1
"481"	"Rargvar2"	17	1
"482"	"TP63"	18	1
"483"	"TP53"	18	1
"484"	"TP73"	18	1
"485"	"GMEB2"	8	1
"486"	"E2F1"	12	1
"487"	"E2F2"	16	1
"488"	"SOX21"	15	1
"489"	"SOX4"	16	1
"490"	"TFAP2Avar3"	13	1
"491"	"ELK1"	10	1
"492"	"HOXD12"	11	1
"493"	"Arx"	17	1
"494"	"Dmbx1"	17	1
"495"	"DUXA"	13	1
"496"	"EMX2"	10	1
"497"	"EVX1"	10	1
"498"	"EVX2"	10	1
"499"	"GBX1"	10	1
"500"	"GBX2"	10	1
"501"	"GSC2"	10	1
"502"	"GSX1"	10	1
"503"	"HESX1"	10	1
"504"	"Hmx1"	17	1
"505"	"Hmx2"	17	1
"506"	"Hmx3"	17	1
"507"	"HOXA10"	11	1
"508"	"HOXA2"	10	1
"509"	"HOXB2"	10	1
"510"	"HOXB3"	10	1
"511"	"Hoxb5"	16	1
"512"	"HOXC10"	10	1
"513"	"HOXC12"	11	1
"514"	"HOXC13"	11	1
"515"	"HOXD11"	10	1
"516"	"HOXD13"	10	1
"517"	"Hoxa11"	12	1
"518"	"Hoxd3"	16	1
"519"	"ISL2"	8	1
